experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
quality,vocals-10-SIR,KON,ISR,11.071070402532824,27.5,17.894736842105264,37.0,39.679042951111974
quality,vocals-10-SIR,NUG2,ISR,11.664031456650546,38.4873417721519,30.337078651685392,45.45454545454545,40.32483934843287
quality,vocals-10-SIR,RAF2,ISR,12.677894850876909,63.02173913043478,50.0,76.0,41.4290422683719
quality,vocals-11-SAR,GRA3,ISR,-4.258535769730912,49.752525252525245,43.33333333333334,55.0,22.983503893953948
quality,vocals-11-SAR,HUA,ISR,6.038846642045769,49.75252525252525,36.0,60.0,34.19842672435058
quality,vocals-11-SAR,KAM1,ISR,4.988641506618701,0.0,0.0,1.0,33.05464386003442
quality,vocals-11-SAR,RAF2,ISR,7.756351609811753,60.5,47.77777777777778,71.0,36.06896866443524
quality,vocals-11-SAR,STO1,ISR,5.756687201305107,16.58585858585859,7.0,20.0,33.891125681499595
quality,vocals-12-SAR,DUR,ISR,11.318631220306148,18.0,12.0,28.7371763556424,39.94866248704205
quality,vocals-12-SAR,GRA2,ISR,-4.991111887413276,2.5,0.0,4.7857142857142865,22.185652139142626
quality,vocals-12-SAR,GRA3,ISR,-5.293966324744246,51.0,47.218212203100556,56.777777777777786,21.855812087788838
quality,vocals-12-SAR,KAM2,ISR,9.922310130914154,8.5,3.0,14.0,38.42792327024096
quality,vocals-12-SAR,KON,ISR,9.795415310134901,14.368421052631579,7.0,17.333333333333336,38.289721583083185
quality,vocals-18-SIR,GRA3,ISR,-5.273563392155509,28.5,16.0,39.274118738404454,21.878033008149607
quality,vocals-18-SIR,HUA,ISR,5.34173806731599,48.36363636363636,29.5,63.39735894357743,33.43920282089905
quality,vocals-18-SIR,NUG1,ISR,11.980096280156,23.849607182940513,12.0,38.8235294117647,40.669066887361865
quality,vocals-18-SIR,OZE,ISR,11.508391140989403,19.606060606060606,10.5,28.78787878787879,40.15533082096068
quality,vocals-18-SIR,UHL1,ISR,13.47284361232351,24.587912087912088,17.99367088607595,48.5,42.29482433387497
quality,vocals-19-SIR,GRA3,ISR,-5.608947003625191,37.16512955643391,18.0,41.0,21.512765295365572
quality,vocals-19-SIR,HUA,ISR,12.329510797372219,59.689284145805885,52.17391304347826,66.0,41.04961571906482
quality,vocals-19-SIR,KAM1,ISR,9.832415600290286,3.0,0.0,11.0,38.33001875591813
quality,vocals-19-SIR,KAM2,ISR,12.114942669123193,13.613636363636363,5.0,20.0,40.815928661136056
quality,vocals-19-SIR,KON,ISR,9.229996815565476,1.0,0.0,9.677419354838712,37.67392190410622
quality,vocals-20-SAR,CHA,ISR,10.363407403731378,66.86274509803923,62.0,78.82352941176471,38.90832417966878
quality,vocals-20-SAR,DUR,ISR,11.131770041525392,47.4795918367347,33.0,66.0,39.745151185215825
quality,vocals-20-SAR,HUA,ISR,9.134174176660078,74.01685393258427,67.05882352941177,83.0,37.56956106192753
quality,vocals-20-SAR,KAM2,ISR,9.54090671073207,35.47752808988764,27.0,51.0,38.01253518873206
quality,vocals-20-SAR,KON,ISR,9.635875919554618,15.51822976381564,8.0,25.0,38.11596655659022
quality,vocals-24-SAR,GRA3,ISR,-5.4279375245989385,41.5,27.272727272727273,55.0,21.70990348618658
quality,vocals-24-SAR,HUA,ISR,8.630151978261058,70.87251828631139,55.555555555555564,83.0,37.020628349339596
quality,vocals-24-SAR,KAM1,ISR,9.467815008175887,18.854166666666664,10.666666666666666,31.03448275862069,37.93293070567698
quality,vocals-24-SAR,RAF2,ISR,10.071839535653057,65.83333333333334,52.0,77.55102040816327,38.59077637872648
quality,vocals-24-SAR,STO2,ISR,10.129994205570984,11.0,4.0,15.0,38.65411287622422
quality,vocals-25-SAR,GRA2,ISR,-5.410667284947205,3.0,0.0,8.98876404494382,21.728712577391654
quality,vocals-25-SAR,HUA,ISR,14.710566470484546,73.94733855408012,70.0,88.0,43.64283354481958
quality,vocals-25-SAR,KON,ISR,15.156272719081473,23.0,13.636363636363635,34.831460674157306,44.12825410930435
quality,vocals-25-SAR,RAF1,ISR,16.98198529599531,84.54545454545455,80.27160493827161,92.20779220779221,46.116645415152774
quality,vocals-25-SAR,RAF3,ISR,17.86177697259054,68.0,59.0,85.0,47.07483025915318
quality,vocals-26-SIR,HUA,ISR,12.354008824399614,74.43181818181819,68.0,85.0,41.0762966241359
quality,vocals-26-SIR,JEO1,ISR,8.548396435068634,29.272727272727273,21.0,35.0,36.93158804072567
quality,vocals-26-SIR,KAM1,ISR,9.065073884374172,21.240963855421683,14.0,33.0,37.494303640715515
quality,vocals-26-SIR,KON,ISR,6.1251635798534965,5.5353535353535355,0.0,12.5,34.292434867173625
quality,vocals-26-SIR,RAF1,ISR,14.378436331479858,70.36363636363637,58.064516129032256,85.0,43.281109202687105
quality,vocals-30-SIR,CHA,ISR,18.73688198120168,57.78787878787879,51.68539325842696,72.0,48.02791083318755
quality,vocals-30-SIR,HUA,ISR,16.915116194140566,72.51685393258427,50.746268656716424,79.0,46.043817992896294
quality,vocals-30-SIR,JEO2,ISR,11.878976377934706,23.360724467549893,18.0,34.343434343434346,40.558936773253244
quality,vocals-30-SIR,NUG3,ISR,24.84915293249173,46.30952380952381,37.0,59.595959595959606,54.684811033261376
quality,vocals-30-SIR,RAF1,ISR,18.003932457869514,73.87878787878788,67.0,80.95238095238095,47.22965240070033
quality,vocals-41-SIR,DUR,ISR,16.04669397581894,28.5,23.5,42.388888888888886,45.09801567409142
quality,vocals-41-SIR,HUA,ISR,10.171300182484043,83.02215189873418,78.0,88.02941176470588,38.699099390756714
quality,vocals-41-SIR,NUG1,ISR,14.334522997007037,26.424050632911396,13.333333333333336,34.06417112299465,43.23328300398491
quality,vocals-41-SIR,RAF3,ISR,10.017383999099687,75.0,65.9888888888889,84.47530864197532,38.531468623054955
quality,vocals-41-SIR,UHL1,ISR,14.49449010143515,46.23232323232323,28.0,56.790123456790134,43.40750385544242
quality,vocals-42-SAR,CHA,ISR,13.451341842459366,43.84042553191489,34.0,55.0,42.27140666518011
quality,vocals-42-SAR,KAM2,ISR,13.269608793908036,11.851063829787233,9.090909090909092,18.94736842105263,42.07348043172247
quality,vocals-42-SAR,KON,ISR,-5.609307324357529,19.270114942528735,11.0,29.59183673469388,21.512372868528754
quality,vocals-42-SAR,NUG3,ISR,19.018368500073464,39.0,27.659574468085108,44.15730337078652,48.33447899397895
quality,vocals-42-SAR,UHL3,ISR,16.33073417008049,66.5,58.0,76.84210526315789,45.407365053573635
quality,vocals-45-SIR,HUA,ISR,9.308262499434656,60.98550724637681,50.42359074617139,80.0,37.75916139213933
quality,vocals-45-SIR,KAM2,ISR,7.794667946783211,15.142857142857142,7.0,19.0,36.110699149435675
